name,name_ko,current_lat,current_lon,kakao_lat,kakao_lon,distance_m,kakao_url,flagged
Samcheongdong Sujebi,삼청동 수제비,37.58449,126.89189,37.5845977743306,126.98197124938,7937.7,http://place.map.kakao.com/13559837,YES
Au Bouillon,오부이용,37.5311165,127.0073647,37.5506143178854,127.026062141278,2723.6,http://place.map.kakao.com/1715937835,YES
Yukjeon Hoekwan,역전회관,37.566,126.947,37.5429215843826,126.947007522969,2566.2,http://place.map.kakao.com/18279130,YES
Wooga,우가,37.52432,127.03734,37.51956626403234,127.01909111791184,1694.0,http://place.map.kakao.com/1523827641,YES
Olh Eum,옳음,37.52451,127.04266,37.51625609142963,127.03744078221835,1026.8,http://place.map.kakao.com/2051060630,YES
Gucci Osteria da Massimo Bottura,구찌 오스테리아 다 마시모 보투라,37.5192193,127.0413985,37.52506917542535,127.04652592617343,792.2,http://place.map.kakao.com/623581617,YES
Jin Jin,진진,37.55777,126.91324,37.55376325035565,126.91845251500338,640.0,http://place.map.kakao.com/1767349854,YES
Toh Lim,도림,37.5653379542771,126.980961724646,37.5077883250389,126.900267225474,9569.5,http://place.map.kakao.com/8267205,ID_NOT_IN_RESULTS
Seoul Dining,서울 다이닝,37.5592667165557,127.003626259501,37.519029563585256,127.04223838500221,5622.1,http://place.map.kakao.com/312947795,ID_NOT_IN_RESULTS
ANAM,안암,37.57943903405731,126.98442235041564,37.5888363125305,127.0333557589,4436.7,http://place.map.kakao.com/17567170,ID_NOT_IN_RESULTS
Yu Yuan,유 유안,37.5705879294402,126.975400187981,37.57065733124383,126.97552128526738,13.2,http://place.map.kakao.com/27464311,no
KANG MINCHUL Restaurant,강민철 레스토랑,37.5250053864687,127.04368978396164,37.524965745307945,127.04368184193406,4.5,http://place.map.kakao.com/1734048185,no
3rd Samgyetang,3대 삼계장인,37.4913558650832,127.011556427233,37.4913558650832,127.011556427233,0.0,http://place.map.kakao.com/1967338071,no
7th Door,세븐스도어,37.5224033901739,127.054310555502,37.5224033901739,127.054310555502,0.0,http://place.map.kakao.com/1147571189,no
A Flower Blossom on the Rice,꽃밥에피다,37.5752745847246,126.984020213994,37.5752745847246,126.984020213994,0.0,http://place.map.kakao.com/27373320,no
Aelgerizm,알고리즘,37.5233469914616,127.037421700469,37.5233469914616,127.037421700469,0.0,http://place.map.kakao.com/1234911658,no
A L'AISE,알레즈,37.53475735215,127.010275564202,37.53475735215,127.010275564202,0.0,http://place.map.kakao.com/649356790,no
alla prima,알라 프리마,37.51353812649945,127.0260266212748,37.51353812649945,127.0260266212748,0.0,http://place.map.kakao.com/27129003,no
ALT.a,알트에이,37.5324538104,126.994474310497,37.5324538104,126.994474310497,0.0,http://place.map.kakao.com/56374675,no
Andeok,안덕,37.58148142147668,126.96967030315093,37.58148142147668,126.96967030315093,0.0,http://place.map.kakao.com/574911495,no
Baek Nyun Ok,백년옥,37.48118504695074,127.01377086131225,37.48118504695074,127.01377086131225,0.0,http://place.map.kakao.com/7885551,no
Base is nice,베이스 이즈 나이스,37.5396266487439,126.949101987901,37.5396266487439,126.949101987901,0.0,http://place.map.kakao.com/896231368,no
Bicena,비채나,37.512605382354366,127.10255219456239,37.512605382354366,127.10255219456239,0.0,http://place.map.kakao.com/18313843,no
